Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
2, app/models/XMLReads.scala, 197, false, 96, 375, 865, 58, 294
3, app/pages/addItems/DeclareNumberOfPackagesPage.scala, 194, false, 59, 119, 355, 20, 103
0, app/models/reference/Country.scala, 193, false, 57, 48, 454, 6, 31
4, app/pages/addItems/TotalPiecesPage.scala, 190, false, 53, 64, 285, 9, 47
3, app/models/XMLWrites.scala, 188, false, 58, 96, 157, 14, 74
1, app/models/messages/goodsitem/PreviousAdministrativeReference.scala, 187, false, 82, 428, 747, 31, 166
5, app/viewModels/GoodsSummaryCheckYourAnswersViewModel.scala, 187, false, 62, 174, 367, 37, 198
0, app/pages/addItems/AddExtraInformationPage.scala, 185, false, 53, 64, 285, 9, 49
2, app/models/messages/goodsitem/TraderConsignorGoodsItem.scala, 184, false, 94, 546, 987, 41, 223
2, app/models/reference/PackageType.scala, 184, false, 63, 74, 520, 9, 49
0, app/models/DeclarationType.scala, 183, false, 49, 183, 490, 28, 153
2, app/models/messages/Seals.scala, 180, false, 68, 362, 667, 31, 172
4, app/config/Service.scala, 179, false, 73, 149, 443, 24, 134
3, app/viewModels/AddItemsCheckYourAnswersViewModel.scala, 177, false, 49, 138, 342, 34, 192
0, app/config/FrontendAppConfig.scala, 170, false, 68, 238, 383, 35, 206
6, app/forms/NationalityCrossingBorderFormProvider.scala, 169, false, 40, 95, 110, 14, 83
4, app/models/LocalDateTimeWithAMPM.scala, 168, false, 58, 50, 464, 7, 42
6, app/forms/DestinationCountryFormProvider.scala, 167, false, 40, 95, 110, 14, 84
1, app/utils/BinaryToBooleanXMLReader.scala, 165, false, 48, 72, 281, 13, 79
4, app/pages/addItems/traderDetails/TraderDetailsConsigneeNamePage.scala, 165, false, 47, 55, 238, 9, 55
0, app/models/requests/IdentifierRequest.scala, 164, false, 50, 45, 228, 4, 24
3, app/models/reference/OfficeOfTransit.scala, 164, false, 53, 48, 410, 6, 37
